id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45147818,Sefaköy Çetin apart uygun fiyatlar,362722963,Çetin,,Kucukcekmece,41.00145,28.79814,Private room,100,365,0,,,1,365
45148041,kayaşehir kavaklıbahçe,362961453,Bilal,,Basaksehir,41.13344,28.78418,Entire home/apt,398,7,0,,,1,365
45148346,Triple Room in old Town at Emine Sultan Hotel,154943996,Mustafa,,Fatih,41.00296,28.97682,Private room,250,1,0,,,2,362
45148961,Rast Hotel | Sultanahmet,18349183,Vefa,,Fatih,41.00768,28.97306,Private room,466,1,0,,,3,354
45149166,"Metro,metrobüs,otobüs duraklarına 10 dk tatlı ev",364632725,Örgün,,Sisli,41.07223,29.00076,Entire home/apt,250,1,0,,,2,180
45149187,ALF HOTEL&ROOMS,191505350,Hasan,,Fatih,41.00486,28.96701,Private room,175,1,0,,,1,364
45149573,HAGİA SOPHİA MOSQUE ECONOMIC  DOUBLE ROOM,25681900,Serkan,,Fatih,41.0026,28.97882,Private room,119,1,0,,,10,365
45149760,Special designed place with sea view,20393152,A&F,,Beykoz,41.10067,29.08302,Entire home/apt,327,3,0,,,1,363
45150193,"Historical White Wooden Building in Moda, Kadıköy",364558155,Engin,,Kadikoy,40.98419,29.02794,Entire home/apt,337,3,0,,,1,363
45150381,Apartment in NLogo Esenyurt,364644483,Ahmed,,Esenyurt,41.03131,28.68462,Entire home/apt,481,4,0,,,1,179
45150387,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.04862,28.98747,Entire home/apt,198,1,1,2020-09-08,0.60,8,175
45150725,Mimardan Stil Sahibi Boğaz Manzaralı Daire,300023276,Emre,,Besiktas,41.04531,29.00594,Entire home/apt,483,7,1,2020-09-23,0.86,1,34
45150795,Hotel Comfort Room in Şişli,209305482,Rojwan,,Sisli,41.0497,28.98633,Entire home/apt,179,1,0,,,8,228
45151801,"E-5’e5 dk, metroya 10 dk Bostancı daire",204040536,Berfin,,Atasehir,40.9607,29.11378,Private room,100,1,0,,,1,363
45151956,Hotel Comfort Room in Şişli,209305482,Rojwan,,Sisli,41.04891,28.98634,Entire home/apt,171,1,1,2020-10-11,1,8,171
45152017,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.04826,28.98715,Entire home/apt,217,1,0,,,8,178
45152033,Happy Suite Boutique Hotel With Seaview & Kitchen,364658978,Ahmet,,Fatih,41.00218,28.9753,Private room,181,1,1,2020-10-01,1,3,365
45152071,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.04898,28.98596,Entire home/apt,198,1,0,,,8,176
45152166,Kadıköy Bahariye'de balkonlu özel oda,267543752,Rana,,Kadikoy,40.98828,29.03053,Private room,100,1,0,,,1,175
45152293,Happy Suite Boutique Hotel With Seaview,364658978,Ahmet,,Fatih,41.00199,28.97429,Private room,143,1,0,,,3,365
45152391,Happy Suite Boutique Hotel With Kitchen,364658978,Ahmet,,Fatih,41.00314,28.97536,Private room,124,1,1,2020-09-04,0.56,3,365
45152646,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.04965,28.98802,Entire home/apt,220,1,0,,,8,179
45152717,High Ceiling Studio Flat in the heart of Şişli,209305482,Rojwan,,Sisli,41.05002,28.98613,Entire home/apt,198,1,1,2020-09-19,0.77,8,170
45153211,Mimoza/2,205712341,Ufuk,,Kadikoy,40.98269,29.06298,Private room,95,1,0,,,2,246
45153320,ECONOMIC EIFEL HOME 5,219509771,Yaşar,,Beyoglu,41.03686,28.974,Entire home/apt,120,2,1,2020-10-21,1,3,145
45153634,34 TAKSİM APART İSTANBUL,364675550,İbrahim Halil,,Beyoglu,41.03712,28.97686,Entire home/apt,102,1,5,2020-10-18,3.00,1,347
45154453,Cozy Double Room In Historical Town,364486465,Erhan,,Fatih,41.01989,28.96185,Private room,121,1,2,2020-09-16,1.11,7,364
45155274,In the heart of Beyoglu - In a historical street,16942410,Elif Lütfiye,,Beyoglu,41.02796,28.97909,Entire home/apt,410,2,1,2020-10-16,1,1,148
45158676,1  + 1 dairenin salondan bagimsiz odasi,270682122,Suleyman,,Uskudar,41.02165,29.03471,Private room,80,1,0,,,1,89
45160327,UNİQUEDESİNGOFFİCE,364699185,Okan,,Sancaktepe,41.00086,29.19719,Private room,199,1,0,,,1,180
45162033,Kadıköy lüks daire,364138570,Engin,,Kadikoy,40.99493,29.02757,Entire home/apt,322,1,0,,,2,365
45163026,Taksim single house(106),304153488,Farzin,,Beyoglu,41.03819,28.98188,Entire home/apt,214,3,2,2020-09-21,1.33,4,94
45165991,Temiz düzenli oda,364763795,Serkan,,Maltepe,40.93325,29.12479,Shared room,64,1,0,,,1,341
45167773,"Private room, close to all public transportation",177163553,Sümeyye Hacer,,Fatih,41.01215,28.93338,Private room,238,1,0,,,1,178
45168812,Historical terrace apartment by the seaside,157202282,Dilek,,Sariyer,41.16191,29.04669,Entire home/apt,1059,1,0,,,1,267
45169157,COZY FLAT İN ASİAN SİDE- CENTER OF KADIKÖY,275068595,Nehir,,Kadikoy,40.9951,29.02768,Private room,120,1,0,,,1,364
45169225,Kocaman bir king room sade yapısıyla hizmetinizde,33176782,Mehmet Salih,,Fatih,41.00961,28.93708,Private room,201,1,0,,,1,232
45169226,historical and comfortable terrace habitat.,25841683,Melike,,Beyoglu,41.02574,28.97386,Entire home/apt,481,2,0,,,4,363
45170080,Kadıköy Tüm Daire Size Ait Olacak 2+1,363828257,Kübra Dilara,,Kadikoy,40.99444,29.02757,Entire home/apt,175,1,0,,,3,75
45171127,flat near Taksım Square,363932716,Malik,,Beyoglu,41.03676,28.97339,Entire home/apt,110,1,2,2020-10-14,1.36,9,340
45171258,EV ARKADAŞI ARIYORUM,141844567,Talha,,Fatih,41.00851,28.93085,Private room,900,1,0,,,1,365
45171279,Kadıköy'de En İyi Lokasyonda Kiralık Oda,363828257,Kübra Dilara,,Kadikoy,40.99475,29.02912,Entire home/apt,180,1,0,,,3,349
45171481,Sile Center / Sea View Balcony / Clean & Spacious.,339988157,Ilkin,,Sile,41.17481,29.61241,Entire home/apt,550,1,0,,,2,365
45171754,In nişantası and close to central places,207802278,Ilknur,,Sisli,41.0546,28.98999,Private room,241,1,0,,,1,365
45172565,Private Room in Center Üsküdar,67254439,Ahmet Alper,,Uskudar,41.0266,29.02856,Private room,80,1,1,2020-09-19,0.75,1,365
45174086,Chill Home,364825650,Özgür,,Kadikoy,40.99423,29.02517,Entire home/apt,300,1,1,2020-09-07,0.59,1,365
45174944,Apart with Quality People,239089003,Suat,,Bahcelievler,40.99384,28.85028,Private room,138,1,0,,,1,364
45175187,Flat in Beşiktaş (Close to Conrad Hotel),364835479,Yüksel,,Besiktas,41.04753,29.00585,Entire home/apt,225,1,2,2020-09-15,1.07,4,344
45175237,Cihangir Comfort Apartment,309518255,Furkan,,Beyoglu,41.03129,28.9789,Entire home/apt,139,1,1,2020-09-30,1,7,269
45176165,taksim meydan 3 kişilik rahat oda ( özel banyo WC,344080449,Rose,,Beyoglu,41.03467,28.98274,Entire home/apt,127,1,3,2020-10-22,1.96,14,358
45176541,privet room at taksim square  ( privet bath ),344080449,Rose,,Beyoglu,41.03268,28.98435,Entire home/apt,125,1,0,,,14,362
45178673,Rahat ferah,364862206,Batuhan,,Cekmekoy,41.03582,29.22574,Private room,326,1,0,,,1,365
45183003,"İstinye, very close to the beach in Bosphorus",34082051,Sevgi,,Sariyer,41.11375,29.05272,Entire home/apt,320,7,0,,,1,26
45183141,Nice room in Şişli,49631986,Buğra,,Sisli,41.04618,28.97849,Private room,80,1,1,2020-10-02,1,1,337
45183720,Superior 8 Bed Mixed Dorm Ensuite 3,32475098,Suphi,,Beyoglu,41.03985,28.98112,Shared room,86,1,0,,,16,365
45183837,KENDİNİZİ EVİNİZDE HİSSEDEBİLECEGİNİZ BİR EV,307186699,Ali İhsan,,Atasehir,40.97963,29.15583,Entire home/apt,150,3,0,,,1,363
